Company, Position, Verifyed, Region, Salary
IEX, Backend Engineer, None, Worldwide, 💰 $70k - $120k*
DeFiner, Data Engineer Intern, None, Worldwide, 💰 $70k - $120k*
Braintrust, DevOps Engineer, None, Global, 💰 $68k - $115k*
Kraken, Observability Engineer DevOps Staked, None, Remote Anywhere, 💰 $70k - $120k*
Status SNT, Rust Developer, None, Remote (Worldwide), 💰 $90k - $135k*
Status SNT, Python Dev SpiffWorkFlow, None, Remote (Worldwide), 💰 $60k - $125k*
Enya, Senior Full Stack Developer, None, Worldwide, 💰 $70k - $120k*
Commit, Senior Full Stack Developer, verified, 🇨🇦 Canada, 💰 $110k - $140k
lemon.io, Python Developer, None, 🇪🇺 Europe, 💃 Latin America
Braintrust, DevOps Engineer Integrations, None, Global, 💰 $70k - $120k*
Braintrust, Condor Software . Engineering Manager Direct Hire, None, Global, 💰 $70k - $120k*
Braintrust, Master Python Engineer, None, Global, 💰 $70k - $120k*
Braintrust, DevOps Engineer, None, Global, 💰 $63k - $118k*
Latoken, Sales Manager, None, Remote Worldwide, 💰 $60k - $110k*
Braintrust, Backend Python Developer, None, Global, 💰 $70k - $120k*
TradeBlock, Senior Backend Engineer, None, Worldwide, 💰 $70k - $120k*
Latoken, DevOps engineer, None, Remote Worldwide, 💰 $80k - $125k*
Re7, Quantitative Strategist DeFi, None, 🇬🇧 United Kingdom, 💰 $75k - $130k*
Commit, Senior Software Developer, verified, 🇨🇦 Canada, 💰 $110k - $140k
Twist Bioscience, Senior DevOps Engineer, None, 🇺🇸 United States, 💰 $70k - $120k*
lemon.io, Python Developer, , Latin America Only/Europe Only/Canada Only, 
OpenCraft, Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack), , Anywhere in the World, 
Proxify AB, Senior Python Engineer: Long-term job - 100% remote, , Anywhere in the World, 
Optimile, (Senior) Python Full Stack Software Developer, , Europe Only, 
AssemblyAI (YC 17), Senior Software Engineer  Python, , Anywhere in the World, 
Ebury, Senior Python Developer - Full Remote, , Latin America Only/Europe Only, 
Doximity, Python Platform Engineer, , Americas Only, 
